LEGEND:,Unnamed: 0,Unnamed: 1,#,Name (known as),Charity?,Charity #,Charity,Org.,Affiliate of,City,Prov.,Other Names,Website and Social Media,Sex Ed Programs,Other Names Website and Social Media,Name (known as) Charity?
,,,,,,,,,Evangelical,,,Families: Family Life,tionscentre/,website.,,
,,,,,,,,,,,,"Support Services,",www.instagram.com/sk_pregnancy_option,,,
,,,,,,,,,,,,,s_centre/?hl=en,,,
,,,,,,,,,,,,Inc.,,,,
,,,,,,,,,,,,Real Choices Crisis,,,,
,,,,,,,,,,,,Pregnancy Centre,,,,
,,,262.0,Sec ond Chance Ministry,N,,,CPC,Catholic Church,Scarborough,ON,,www.secondchanceministry.ca/,,,
,,,263.0,Shu swap Pro-life Society,N,,,Advocacy,LifeCanada,Salmon Arm,BC,,www.shuswapprolife.com,,,
,,,,,,,,,,,,,www.facebook.com/ShuswapProLifeSociet,,,
,,,,,,,,,,,,,y/,,,
,,,,,,,,,,,,,https://twitter.com/prolifeshuswap,,,
,,,,,,,,,,,,,www.pinterest.ca/shuswapprolife/_create,,,
,,,,,,,,,,,,,d/,,,
,,,264.0,Sign al Hill Life Education,Y,129669818.0,Poverty,Advocacy,,Langley,BC,(arose from BC Pro-,https://thesignalhill.com/about-us,"Multiple presentations and workshops,",,
,,,,Society,,,,,,,,Life Society),www.facebook.com/thesignalhill,but NOT on sexual issues.,,
,,,,,,,,,,,,,https://twitter.com/thesignalhill?lang=en,https://store.thesignalhill.com/,,
,,,,,,,,,,,,,www.instagram.com/thesignalhill/?hl=en,Targeted at teachers,,
,,,265.0,Sim coe & District Voice,Y,119286938.0,Poverty,Advocacy,Alliance for Life,Simcoe,ON,Voice for Life,www.simcoevoiceforlife.com/,Says it provides educational materials for,,
,,,,for Life,,,,,Ont.,,,,,schools. www.simcoevoiceforlife.com,,
,,,,,,,,,,,,,,"“If there is an opportunity, we visit",,
,,,,,,,,,,,,,,"schools and groups, as invited on life",,
,,,,,,,,,,,,,,issues”,,
,,,266.0,Sm ithers Crisis,N,,,CPC,,Smithers,BC,Run by Pro-life,https://smitherspregnancy.wixsite.com/car,"“Sexual Education” is mentioned, no",,
,,,,Pregnancy Care Centre,,,,,,,,Society of Smithers,e,details.,,
,,,,,,,,,,,,,www.facebook.com/smitherscpcc/,,,
,,,267.0,Sou th Niagara Life,Y,840686000.0,Religion,CPC,,Fort Erie,ON,South Niagara Life,http://snlmcounsel.ca,Empowered: South Niagara Life,,
,,,,Ministries,,,,,,,,Centre Ministries,www.facebook.com/snlmcounsel.ca/?rc=p,Ministries’ Abstinence Curriculum,,
,,,,,,,,,,,,,https://twitter.com/LifeNiagara,http://snlmcounsel.ca/services.html,,
,,,,,,,,,,,,,www.instagram.com/southniagaralife/,“excellent for classroom presentations,,
,,,,,,,,,,,,,,and area public school assemblies”,,
,,,,,,,,,,,,,,(doesn’t specify grade or,,
,,,,,,,,,,,,,,public/religious).,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,,,,,,,,,,,,Have to contact directly for more details.,,
,,,268.0,Sou th Niagara Life,Y,840686000.0,Religion,CPC,,Port Colborne,ON,South Niagara Life,http://snlmcounsel.ca,Empowered Sexual Health/Relationships,,
,,,,Ministries,,,,,,,,Centre Ministries,www.facebook.com/snlmcounsel.ca/?rc=p,school presentations on abstinence.,,
,,,,,,,,,,,,,https://twitter.com/LifeNiagara,http://snlmcounsel.ca/services.html,,
,,,,,,,,,,,,,www.instagram.com/southniagaralife/,,,
,,,269.0,Sou thFraser Pregnancy,Y,119297497.0,Poverty,CPC,PCC / Heartbeat,Surrey,BC,Crisis Pregnancy,www.pregnancyoptionscentre.com,STAND program: www.iwillstand.org/,,
,,,,Options Centre,,,,,Int’l / Care Net /,,,Centre of Surrey /,www.facebook.com/popartners,Says over 700 students reached in,,
,,,,,,,,,Evangelical,,,CPC of Surrey,http://instagram.com/pregnancyoptionspa,"Surrey, Langley, Delta and surrounding",,
,,,,,,,,,,,,,rtners,areas.  Program Guide,,
,,,,,,,,,,,,,,History: “Sexual Integrity Community,,
,,,,,,,,,,,,,,Education” was in schools but blocked in,,
,,,,,,,,,,,,,,2012.,,
,,,270.0,St.  Joseph's Workers for,Y,135142834.0,Religion,Advocacy,Catholic Church,Ottawa,ON,,www.sjw.ca/,"Mostly pamphlets, books. Prayer cards",,
,,,,Life and Family,,,,,,,,,,for schools.,,
,,,,,,,,,,,,,,www.sjw.ca/prayercards.htm,,
,,,,,,,,,,,,,,Work to consult with Catholic and,,
,,,,,,,,,,,,,,"secular educators, parents and groups",,
,,,,,,,,,,,,,,with respect to monitoring and,,
,,,,,,,,,,,,,,evaluating the availability and suitability,,
,,,,,,,,,,,,,,of family life (sex education) studies in,,
,,,,,,,,,,,,,,both Catholic and public school systemsp,,
,,,271.0,St.  Thomas and District,Y,119119915.0,Poverty,Advocacy,LifeCanada,St. Thomas,ON,Respect for Life,www.respectforlife.ca/,,,
,,,,Right to Life,,,,,Alliance for Life,,,St. Thomas Right to,www.facebook.com/Right2LifeStT,,,
,,,,,,,,,Ont.,,,Life,,,,
,,,272.0,Stra tford & District Right,Y,119199990.0,Poverty,Advocacy,LifeCanada,Stratford,ON,Stratford Right to,www.stratfordright2life.ca/,,,
,,,,to Life Association,,,,,Alliance for Life,,,Life,,,,
,,,,,,,,,Ont.,,,,,,,
,,,273.0,Stra throy & District Right,N,,,Advocacy,Alliance for Life,Strathroy,On,Strathroy Right to,www.facebook.com/Strathroy-and-,,,
,,,,to Life,,,,,Ont.,,,Life,District-Right-to-Life-,,,
,,,,,,,,,,,,,751235924920967/,,,
,,,274.0,Sud bury Right to Life,Y,119205128.0,Poverty,Advocacy,Alliance for Life,Sudbury,ON,,https://allianceforlifeontario.ca/sudbury-,,,
,,,,,,,,,Ont.,,,,right-to-life%E2%80%A8/,,,
,,,,,,,,,,,,,www.facebook.com/sudburylife/,,,
,,,275.0,Sun rise Pregnancy and,Y,889773123.0,Poverty,CPC,,Uxbridge,ON,,www.sunriseuxbridge.com/,,,
,,,,Family Support Services,,,,,,,,,www.facebook.com/sunriseuxbridge/,,,
,,,,,,,,,,,,,www.instagram.com/sunrise.uxbridge/,,,
,,,276.0,Sur rey-Delta Pro-life,N,,,Advocacy,,Surrey,BC,,,,,
,,,,Society,,,,,,,,,,,,
,,,277.0,Sus sex And Area Crisis,Y,135608982.0,Poverty,CPC,PCC / Heartbeat,Sussex,NB,Sussex Pregnancy,www.sussexpregnancycare.com,Sexual Health Education presentations,,
,,,,Pregnancy Centre Inc.,,,,,Int’l / Care Net /,,,Care Centre,www.facebook.com/PregnancyCareCentre,(does not specifically mention schools).,,
,,,,,,,,,Evangelical,,,,Sussex/,www.sussexpregnancycare.com/about,,
,,,,,,,,,,,,,http://twitter.com/SussexPregnancy,,,
,,,,,,,,,,,,,http://instagram.com/sussexpregnancycar,,,
,,,,,,,,,,,,,ecentre,,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,278.0,Swi ft Current & District,N,,,Advocacy,LifeCanada,Swift Current,SK,Swift Current Pro-,www.swiftcurrentprolife.com/,,,
,,,,Pro-life,,,,,,,,life,,,,
,,,279.0,Tab er Pro-life,N,,,Advocacy,,Taber,AB,,www.facebook.com/pages/category/Com,,,
,,,,Association,,,,,,,,,munity/Taber-Prolife-,,,
,,,,,,,,,,,,,880379625382243/,,,
,,,280.0,Tee n-Aid North West,Y,108066630,Poverty,Abstinenc,,Saskatoon,SK,,,,,
,,,,Association Corp.,,,,e,,,,,,,,
,,,,,,,,Education,,,,,,,,
,,,281.0,Tee n-Aid Saskatoon Inc.,Y,131433724,Community,Abstinenc,,Saskatoon,SK,,www.teenaidsaskatoon.com,Teen-Aid Chastity,,
,,,,,,,"Org.,",e,,,,,,www.teenaidsaskatoon.com/Teen-,,
,,,,,,,Resource,Education,,,,,,Aid_Saskatoon/Home.html,,
,,,,,,,,,,,,,,Education based on “resisting sexual,,
,,,,,,,,,,,,,,"pressure”, chastity, “responsible",,
,,,,,,,,,,,,,,"sexuality”, “why we don’t teach safe-",,
,,,,,,,,,,,,,,sex”,,
,,,282.0,Ter race Pro-Life,N,,,Advocacy,,Terrace,BC,,No website or social media,,,
,,,,Education Society,,,,,,,,,,,,
,,,283.0,Tiger Mountain League,N,,,Advocacy,Heartbeat Int’l,Holland,MB,,www.facebook.com/TMleagueforlife/,,,
,,,,for Life,,,,,,,,,,,,
,,,284.0,Tillsonburg Right to Life,N,,,Advocacy,Alliance for Life,Tillsonburg,ON,Chapter of Oxford,https://allianceforlifeontario.ca/tillsonburg,,,
,,,,,,,,,Ont.,,,County Right to Life,-right-to-life/,,,
,,,285.0,Tog ether for Life,N,852722594,Religion,Advocacy,,Sturgeon,AB,Associated with,https://togetherforlife.net/,,,
,,,,,,(Artists in,,,,County,,Artists in Christian,,,,
,,,,,,Christian,,,,,,Testimony Canada.,,,,
,,,,,,Testimony,,,,,,Also see Canada,,,,
,,,,,,Canada,,,,,,Silent No More,,,,
,,,,,,Inc.),,,,,,,,,,
,,,286.0,Tor onto Against Abortion,N,,,Advocacy,CCBR (trained by),Toronto,ON,,CCBR: www.endthekilling.ca,,,
,,,,,,,,,,,,,www.torontoagainstabortion.org/,,,
,,,,,,,,,,,,,https://twitter.com/endthekillingTO,,,
,,,,,,,,,,,,,www.facebook.com/torontoagainstabortio,,,
,,,,,,,,,,,,,n,,,
,,,287.0,Tri- County Pregnancy,Y,866619273,Community,CPC,PCC / Heartbeat,Yarmouth,NS,,www.tricountypregnancycarecentre.ca,Abstinence Focused Sexual Health,,
,,,,Care Centre Association,,,"Org., Health",,Int’l / Care Net /,,,,www.facebook.com/tricounty.centre,Education (does not specifically mention,,
,,,,,,,,,Evangelical,,,,http://instagram.com/wix,schools),,
,,,,,,,,,,,,,,www.tricountypregnancycarecentre.ca/,,
,,,,,,,,,,,,,,#!services/c21kz,,
,,,288.0,Val ley Care Pregnancy,Y,897478269,Community,CPC,Heartbeat Int’l /,Kentville,NS,The Valley Care,http://asafeplaceforme.com,Relationship education & presentations,,
,,,,Centre,,,"Org., Health",,Care Net,,,"Pregnancy Centre,",,www.asafeplaceforme.com/services,,
,,,,,,,,,,,,A Christian,,,,
,,,,,,,,,,,,Outreach Ministry,,,,
,,,289.0,Van couver Life Soldiers,N,,,Advocacy,Catholic Church,Vancouver,BC,,https://beholdvancouver.org/events/vanc,,,
,,,,,,,,,(Archdiocese of,,,,ouver-life-soldiers-friday-night-zoom-,,,
,,,,,,,,,Vancouver),,,,rosary,,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,290.0,Van couver Right to Life,Y,119282176.0,Poverty,Advocacy,LifeCanada,Vancouver,BC,Runs Vancouver’s,https://lifecanada.org/vancouver,Used to offer The Principles and Choices,,
,,,,Society,,,,,,,,Life Community,www.facebook.com/Vancouvers-Life-,"Curriculum to high school students, but",,
,,,,,,,,,,,,,Community-1538472686451716/,no longer on website as of Oct 22.,,
,,,291.0,Van couver’s Life,Y,119282176.0,Poverty,Advocacy,LifeCanada,West Vancouver,BC,(Emerged from,https://lifecanada.org/vancouver,,,
,,,,Community,,,,,,,,Vancouver Right to,,,,
,,,,,,,,,,,,Life Society),,,,
,,,292.0,Ver non and Area Pro-life,Y,119283216.0,Poverty,Advocacy,LifeCanada,Vernon,BC,,www.prolifevernon.ca/,,,
,,,,Society,,,,,,,,,www.facebook.com/Vernon-and-Area-Pro-,,,
,,,,,,,,,,,,,Life-Society-369228856766660,,,
,,,293.0,Ver non Live Well Clinic,Y,824273379.0,Community,CPC,PCC / Heartbeat,Vernon,BC,North Okanagan,www.vernonpregnancy.com,“Community Education is for anyone,,
,,,,for Sexual Health and,,,"Org., Health",,Int’l / Care Net /,,,Pregnancy Care,www.facebook.com/VernonLiveWellClinic/,seeking information about healthy,,
,,,,,,,,,,,,,https://twitter.com/vernonpregnancy,,,
,,,,Pregnancy Association,,,,,Evangelical,,,Centre,www.youtube.com/channel/UCJdfAmUMO,relationships and sexuality. Our instructors can come to your school or,,
,,,,,,,,,,,,,nIpGx72_M2kJZQ,,,
,,,,,,,,,,,,,,community building for presentations.,,
,,,,,,,,,,,,,,Our presentations are 100% free to,,
,,,,,,,,,,,,,,"schools, groups, or organizations within",,
,,,,,,,,,,,,,,the greater Vernon area. Learn more at,,
,,,,,,,,,,,,,,"resonateeducation.com,  or to book a",,
,,,,,,,,,,,,,,presentation.”,,
,,,,,,,,,,,,,,"However, Resonate appears to be an",,
,,,,,,,,,,,,,,aggregator site and has nothing related,,
,,,,,,,,,,,,,,to sex-ed.,,
,,,294.0,Vis itation Centre,Y,807557624.0,Religion,CPC,Heartbeat Int’l,Toronto,ON,Run by Sisters of,www.visitationcentreca.org/,Appears to go on lent/advent missions,,
,,,,Pregnancy Support,,,,,,,,Life Canada,www.sistersoflife.org/visitation-mission-,to different schools across the US,,
,,,,,,,,,,,,,pregnancy-help,,,
,,,295.0,Wa lkerton & District,N,,,Advocacy,LifeCanada,Walkerton,ON,Runs “Second Hand,https://allianceforlifeontario.ca/walkerton-,,,
,,,,Right to Life,,,,,Alliance for Life,,,Rose Shop”,district-right-to-life/,,,
,,,,,,,,,Ont.,,,,,,,
,,,296.0,Wa terloo Region Against,N,,,Advocacy,CCBR (trained by),Waterloo region,ON,,CCBR: www.endthekilling.ca,,,
,,,,"Abortion (Kitchener,",,,,,,,,,www.facebook.com/wragainstabortion/,,,
,,,,,,,,,,,,,www.instagram.com/wragainstabortion,,,
,,,,"Waterloo, Cambridge)",,,,,,,,,,,,
,,,297.0,We  Need a Law,N,,,Advocacy,ARPA Canada,Ottawa,ON,Run by Association,https://weneedalaw.ca,They have three “Teacher Guides” for,,
,,,,,,,,,LifeCanada,,,for Reformed,,"schools: Pro-life 101, Sex-Selective",,
,,,,,,,,,,,,Political Action,,"Abortion, and Pre-Born Victims of Crime:",,
,,,,,,,,,,,,(ARPA) Canada,,https://weneedalaw.ca/resources/teachi,,
,,,,,,,,,,,,,,ng-materials/,,
,,,,,,,,,,,,,,And they use this ARPA video as a,,
,,,,,,,,,,,,,,teaching tool:,,
,,,,,,,,,,,,,,www.youtube.com/watch?v=Lct61MEb0,,
,,,,,,,,,,,,,,1Q,,
,,,298.0,We e Care Pregnancy,N,,,CPC,PCC,Castlegar,BC,Trail Pregnancy,https://weecarepc.ca/,(Applied for charity tax status Jan 2022),,
,,,,Centre,,,,,,,,Care Centre,,,,
,,,299.0,We lland Port Colborne,N,,,Advocacy,Alliance for Life,Welland,ON,,http://wpcprolife.com/,,,
,,,,Pro Life,,,,,Ont.,,,,,,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,300.0,We llington Pregnancy,Y,732888532.0,Community,CPC,,Fergus,ON,(Former satellite of,www.facebook.com/Wellington-,,,
,,,,Care Centre,,,"Org., Health",,,,,the Pregnancy,Pregnancy-Care-Centre-,,,
,,,,,,,,,,,,Centre Kitchener-,106468068335366,,,
,,,,,,,,,,,,Waterloo),www.instagram.com/wellington_pcc/,,,
,,,301.0,We st Yellowhead,Y,889893186.0,Community,CPC,PCC / Heartbeat,Edson,AB,Hinton Crisis,www.wypcc.ca/,"Healthy Relationships Presentations,",,
,,,,Pregnancy Care Centre,,,"Org., Health",,Int’l / Care Net /,,,Pregnancy,www.facebook.com/pages/category/Nonp,Grade 5 to 12.,,
,,,,,,,,,Evangelical,,,Association,rofit-Organization/West-Yellowhead-,www.wypcc.ca/services.html,,
,,,,,,,,,,,,,Pregnancy-Care-Centre-,,,
,,,,,,,,,,,,,272370656280555/,,,
,,,302.0,We st Yellowhead,Y,889893186.0,Community,CPC,PCC / Heartbeat,Hinton,AB,Hinton Crisis,www.wypcc.ca/,"Healthy Relationships Presentations,",,
,,,,Pregnancy Care Centre,,,"Org., Health",,Int’l / Care Net /,,,Pregnancy,www.facebook.com/pages/category/Nonp,Grade 5 to 12.,,
,,,,,,,,,Evangelical,,,Association,rofit-Organization/West-Yellowhead-,www.wypcc.ca/services.html,,
,,,,,,,,,,,,,Pregnancy-Care-Centre-,,,
,,,,,,,,,,,,,272370656280555/,,,
,,,303.0,We st Yellowhead,Y,889893186.0,Community,CPC,PCC / Heartbeat,Whitecourt,AB,Hinton Crisis,www.wypcc.ca/,"Healthy Relationships Presentations,",,
,,,,Pregnancy Care Centre,,,"Org., Health",,Int’l / Care Net /,,,Pregnancy,www.facebook.com/pages/category/Nonp,Grade 5 to 12.,,
,,,,,,,,,Evangelical,,,Association,rofit-Organization/West-Yellowhead-,www.wypcc.ca/services.html,,
,,,,,,,,,,,,,Pregnancy-Care-Centre-,,,
,,,,,,,,,,,,,272370656280555/,,,
,,,304.0,We yburn & District Pro-,Y,119296572.0,Poverty,Advocacy,Sask. Pro Life,Weyburn,SK,,www.saskprolife.com/organization/regions,,,
,,,,life,,,,,,,,,_wb,,,
,,,305.0,Wh itehorse Right to Life,N,,,Advocacy,LifeCanada,Whitehorse,YK,,www.whrighttolife.org/,,,
,,,306.0,Wil berforce Project,N,,,Advocacy,,Edmonton,AB,Formerly Alberta,www.thewilberforceproject.ca/,,,
,,,,,,,,,,,,Pro-Life Alliance,,,,
,,,,,,,,,,,,Association,,,,
,,,307.0,Win dsor Against,N,,,Advocacy,CCBR (trained by),Windsor,ON,,CCBR: www.endthekilling.ca,,,
,,,,Abortion,,,,,,,,,www.facebook.com/WindsorAgainstAborti,,,
,,,,,,,,,,,,,on,,,
,,,308.0,Win dsor-Essex Right to,Y,119299618.0,Poverty,Advocacy,Alliance for Life,Windsor,ON,Windsor & Area,www.facebook.com/Windsor-Essex-Right-,.,,
,,,,Life Association,,,,,Ont.,,,Right to Life,To-Life-Association-,,,
,,,,,,,,,,,,Association /,168661716543991/,,,
,,,,,,,,,,,,Windsor Essex,,,,
,,,,,,,,,,,,County Right to Life,,,,
,,,,,,,,,,,,Association,,,,
,,,309.0,Win gham & District Right,N,,,Advocacy,Alliance for Life,Wingham,ON,Wingham Right to,http://winghamright2life.com/who/,,,
,,,,to Life,,,,,Ont.,,,Life,,,,
,,,,,,,,,,,,Wingham Voice for,,,,
,,,,,,,,,,,,Life,,,,
,,,310.0,Wo manCare Pregnancy,Y,890847064.0,Poverty,CPC,PCC / Heartbeat,Maple Ridge,BC,British Columbia,www.womancarepc.ca,,,
,,,,Centre,,,,,Int’l / Care Net /,,,Familycare,www.facebook.com/WomanCare-,,,
,,,,,,,,,Evangelical,,,Foundation,Pregnancy-Centre-241300152595319/,,,
,,,,,,,,,,,,,www.instagram.com/womancarepregnanc,,,
,,,,,,,,,,,,,ycentre/,,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,311.0,Wo men’s Care Centre /,Y,891337990.0,Poverty,CPC,Heartbeat Int’l,Fredericton,NB,Run by New,http://womenscarecenter.ca/,,,
,,,,Centre de soins pour,,,,,,,,Brunswick Right to,,,,
,,,,femmes,,,,,,,,Life Association Inc.,,,,
,,,312.0,Wo odstock Right to Life,N,,,Advocacy,Alliance for Life,Woodstock,ON,Oxford Country /,https://allianceforlifeontario.ca/oxford-,,,
,,,,,,,,,Ont.,,,Woodstock Right to,county-woodstock-right-to-life/,,,
,,,,,,,,,,,,Life,,,,
,,,,,,,,,,,,(Chapter of Oxford,,,,
,,,,,,,,,,,,County Right to,,,,
,,,,,,,,,,,,Life),,,,
,,,313.0,You r Pregnancy Options,Y,894419290.0,Poverty,CPC,Christian,Maple Ridge,BC,Fraser Valley Crisis,No website or social media; refers to,,,
,,,,,,,,,,,,Pregnancy Society /,WomanCare Pregnancy Centre,,,
,,,,,,,,,,,,Ventura 301 /,Some info here:,,,
,,,,,,,,,,,,,https://mission.fetchbc.ca/service.htm,,,
,,,,,,,,,,,,,l?i=328,,,
